上午10:25 - 2017年4月30日," The #IAEG #SDGs has updated latest indicator docs with tiers and custodian agencies. https://unstats.un.org/sdgs/iaeg-sdgs/tier-classification/?? #GlobalGoals "
上午10:13 - 2017年4月30日," Awareness of #SDGs among Europeans has increased from 36% to 41% in just 1 year #globalgoals #2030Agendapic.twitter.com/i7utUzEYQl "
上午10:11 - 2017年4月30日," The Top Five things you need to know about the Sustainable Development Goals (SDGs) https://www.linkedin.com/pulse/top-five-things-you-need-know-sustainable-development-mel-wilson?? "
上午10:08 - 2017年4月30日," How billionaire philanthropists could really make an impact #impactinvesting #SDGs http://www.ethicalcorp.com/how-billionaire-philanthropists-could-really-make-impact?? "
上午10:01 - 2017年4月30日," UNDP and GSMA join forces to harness the power of #mobile #technology to accelerate implementation of #SDGs. http://bit.ly/2oMFhVA?pic.twitter.com/n9Z5fooLhZ "
上午9:52 - 2017年4月30日," Empowering Transformation!  #SDGs #InternetInclusionhttps://www.microsoft.com/empowering-countries/en-us/?? "
上午9:40 - 2017年4月30日," #Justice is key to protecting the global commons for future generations #climatechange #poverty #SDGs @theGEFhttp://ow.ly/BOIW30aTX0G? "
上午9:30 - 2017年4月30日," CEOs urged to invest ?sleeping giant? corporate pensions to fund #SDGs @globalcompact @PRI_News http://bit.ly/2peD9V8? #ESG "
上午9:26 - 2017年4月30日," Impact of good #wastewater management on #SDGs #aguatuyahttps://twitter.com/UN_Water/status/858405784287412224?? "
上午9:22 - 2017年4月30日," Building economic empowerment and resilience in rural Philippines http://buff.ly/2pHikTA? @OikocreditUK #SDGs pic.twitter.com/8FRyPprJ8L "
上午9:21 - 2017年4月30日," .@lgbtvoicetz fights LGBTQ persecution in Tanzania through legal action, organizing + education  #GlobalGoals #SDGs http://bit.ly/29JS1CF? "
上午9:14 - 2017年4月30日," It's the FINALE!   PREVENT  PROTECT  IMMUNISE  Wouldn't you rather???  #WorldImmunizationWeek #vaccineswork #Health #globalgoals #SDGs pic.twitter.com/e4KAIEaq6r "
上午9:05 - 2017年4月30日," Wonder what actions business can take to achieve the #SDGs? Great article in Sunday Times laying out problem of Happy Meals & balloons pic.twitter.com/d9NQ1tPYym "
上午9:05 - 2017年4月30日," Equality?economic, social, and political?is at the core of all the sustainable development goals #GlobalGoals #SDGs http://bit.ly/1iVxqxu? "
上午9:01 - 2017年4月30日," Thrust on GO-NGO efforts to attain SDGs http://dlvr.it/P1rfcy? "
上午9:00 - 2017年4月30日," SDGsACT AFRICA will not stop until SDGs are achieved in AFRICA. Support us with donations. http://www.facebook.com/SDGsACT?pic.twitter.com/qAtGftm65t "
上午8:53 - 2017年4月30日," #GenderEquality for all by 2030. UN #SDGs. UBS Report coming soon. Share now! https://cards.twitter.com/cards/18ce53ybmt6/30jlx?? "
上午8:52 - 2017年4月30日," For it is in giving that we receive. #noew2017 #sdgs #csr #houston #texas #mentalhealth #mindfulness #wellness #psychology #health "
上午8:51 - 2017年4月30日," Achieving water security and the SDGs http://markandfocus.com/2017/04/05/achieving-water-security-and-the-sdgs/?? via @@Markandfocus "
上午8:45 - 2017年4月30日," UN Global Compact pushes for breakthrough innovation on SDGs #SDG #innovation http://ow.ly/I7F930biRt1? "
上午8:35 - 2017年4月30日," 51% Female Students! JAAGO have more than 1200 female students where everyone is given equal opportunities to rise and shine. #Goal5 #SDGs pic.twitter.com/LsuspF9raV "
上午8:33 - 2017年4月30日," Have you heard of the #SDGs? @NYASciences is working w/ the @UN to mobilize scientists to tackle them. #NYAS200 http://bit.nyas.org/2mxeZpk? "
上午8:33 - 2017年4月30日," We call on world leaders at #UNGA to help children outside of families by ensuring #AllChildrenCount in the #SDGs. #Hopeland "
上午8:31 - 2017年4月30日," 51% Female Students! JAAGO have more than 1200 female students where everyone is given equal opportunities to rise and shine. #Goal5 #SDGs pic.twitter.com/rfEYj8toCw "
上午8:26 - 2017年4月30日," @ossap_sdgs @UN_Women every woman is key to achieving informational economic and social changes for Sustainable dev. Let us partner with youpic.twitter.com/PXKunmxgNq "
上午7:31 - 2017年4月30日," China?s Appetite Pushes Fisheries to the Brink, via @nytimes sad sorry, all the more reason to enforce #SDGs https://www.nytimes.com/2017/04/30/world/asia/chinas-appetite-pushes-fisheries-to-the-brink.html?smprod=nytcore-iphone&smid=nytcore-iphone-share?? "
上午7:25 - 2017年4月30日," For sale: - Western digitals, my passport  - 2TB - 2000 SDGs pic.twitter.com/pT2bByWdus "
上午7:17 - 2017年4月30日," For this valid reason, #states should understand their 'common' enemy, and unite to fight it. @UN @GlobalGoalsUN #climatechange #SDGs pic.twitter.com/HZ9tk4RbKV "
上午7:15 - 2017年4月30日," Latest 'This week in the #SDGs' has resources from @UNESCOstat @AidData @UNSSCBONN and more. #GlobalGoals #datahttps://medium.com/sdg-counting/this-week-in-the-sdgs-april-28-2017-e91d29e89b8f?? "
上午7:08 - 2017年4月30日," The latest The ???sui Daily! http://paper.li/suigyu703?edition_id=6dded910-2dae-11e7-841a-0cc47a0d1605?? Thanks to @iMac3000 @akemi127 @artemitan #????????? #sdgs "
上午7:06 - 2017年4月30日," The UN Sustainable Development Goals (SDGs) for 2030. #PHGH2017pic.twitter.com/74RfeInEB3 "
上午7:06 - 2017年4月30日," Thank you @UNDP_Pakistan @UNDP_innovation for sharing my thoughts for realising #SDGs @i_artaza @NeilBuhne #innovation is key!https://twitter.com/undp_pakistan/status/858662708643643392?? "
上午7:05 - 2017年4月30日," #SDGs r to b part all deliberations in corporate forums. Their commitment & involvement wud make it possible. #sustainability #climatechange "
上午7:00 - 2017年4月30日," Don't miss @SueOStephenson, of @impact2030 share how businesses can thrive in accordance w @UN SDGs @ #SB17Detroithttp://sbshare.co/2izVRoj? "
上午7:00 - 2017年4月30日," Funding #asthma care is smart #investment! #Healthfinancing will yield better #publichealth & #SDGs gains http://buff.ly/2oUmZwV? #NCDs "
上午6:47 - 2017年4月30日," Check out my New Blog: Think beyond just building schools - Think #collaboration w/ community, govt & more #SDGs - http://bit.ly/2qlxBXv?pic.twitter.com/6b8InCFIX4 "
上午6:42 - 2017年4月30日," #CSR is and always will be a local endeavor. #Environment #Society #Governance #ESG #SDGs #Sustainability #SocEnt #CSV #Ethics #CSRLB #Lebpic.twitter.com/QJ30hrWGV8 "
